               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12998,            0.011817,                   0,             0.65197,               0.695,             0.58096,             0.19667,            0.097805,           0.0092419,                   0,            0.003332,            0.003332,            0.070012
                   1,            0.097066,           0.0078674,                   0,             0.76335,             0.76744,             0.69327,             0.25514,            0.093007,           0.0088222,                   0,           0.0066433,           0.0066433,             0.03999
                   2,            0.092605,           0.0075956,                   0,             0.74021,             0.76144,             0.71036,             0.26853,            0.089225,           0.0077966,                   0,           0.0099327,           0.0099327,           0.0099461
                   3,            0.087296,           0.0075998,                   0,              0.7007,             0.73363,             0.68188,             0.25064,            0.085001,           0.0075938,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.083086,           0.0074657,                   0,             0.72874,             0.75901,             0.71089,              0.2882,            0.084045,           0.0074733,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.081373,           0.0073555,                   0,             0.73793,             0.75747,             0.72751,             0.29788,            0.082962,           0.0074345,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.079832,           0.0072544,                   0,             0.73251,             0.74225,             0.72081,              0.2898,            0.082158,           0.0071771,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.078796,           0.0071999,                   0,             0.75543,             0.76138,             0.74526,             0.29994,            0.081148,            0.007193,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.078021,           0.0071256,                   0,             0.76876,             0.77834,             0.76389,             0.31352,            0.080807,           0.0070678,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.077296,            0.007055,                   0,             0.75961,             0.76674,             0.75709,             0.30373,            0.079972,           0.0069968,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.076483,           0.0069959,                   0,             0.77319,             0.77644,             0.77002,             0.31749,            0.079574,           0.0069019,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.076296,           0.0069956,                   0,             0.78463,             0.78791,             0.78393,             0.32637,             0.07889,           0.0068764,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.07565,            0.006961,                   0,             0.77413,             0.78006,             0.78074,             0.32297,            0.078637,           0.0068879,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.075476,           0.0069181,                   0,             0.76702,             0.77286,             0.76009,             0.31441,            0.078559,           0.0068602,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.074631,           0.0068803,                   0,             0.75943,             0.76609,             0.76195,             0.31528,            0.078395,           0.0068103,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.074776,           0.0068898,                   0,             0.76939,              0.7737,             0.77777,             0.32316,            0.078171,           0.0067942,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.07421,           0.0068775,                   0,             0.76843,             0.77337,              0.7741,             0.32056,            0.077852,           0.0067685,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.074147,           0.0068719,                   0,             0.76214,              0.7677,             0.76772,             0.31541,            0.077703,           0.0067537,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.073756,           0.0068891,                   0,             0.76767,             0.77415,             0.77295,             0.31944,            0.077682,           0.0067377,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.073943,           0.0067842,                   0,             0.77129,             0.77649,             0.78116,             0.32327,             0.07764,           0.0067218,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.073348,           0.0068014,                   0,              0.7712,             0.77585,             0.78324,             0.32448,            0.077321,           0.0067178,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.073588,           0.0068526,                   0,             0.76712,             0.77283,             0.78173,             0.32355,            0.077233,           0.0067224,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.073185,           0.0067513,                   0,              0.7654,             0.77038,              0.7799,             0.32319,            0.077202,           0.0067193,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.073345,           0.0066991,                   0,             0.76799,             0.77355,             0.78327,             0.32289,            0.077158,           0.0067112,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.072653,           0.0067549,                   0,              0.7675,              0.7735,             0.78394,             0.32289,             0.07707,           0.0067068,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.072604,           0.0066949,                   0,             0.76676,             0.77343,             0.78375,              0.3231,            0.076992,           0.0067074,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.072563,           0.0067089,                   0,             0.76419,             0.77067,               0.781,             0.32167,            0.077012,           0.0067043,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.072553,           0.0066903,                   0,             0.75839,             0.76534,             0.77319,             0.31832,            0.077379,           0.0066996,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.072115,           0.0066639,                   0,             0.75895,             0.76577,             0.77339,             0.31712,            0.077443,           0.0067018,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.071865,           0.0066727,                   0,             0.75997,             0.76658,             0.77471,             0.31793,            0.077285,           0.0067025,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.071704,           0.0067229,                   0,             0.76026,             0.76709,             0.77434,             0.31836,            0.077154,           0.0067055,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.071649,           0.0066847,                   0,             0.75828,             0.76529,             0.77129,             0.31494,            0.077415,           0.0067021,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.071888,           0.0067182,                   0,             0.75649,             0.76426,             0.76819,             0.31026,            0.077688,           0.0067033,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.071339,           0.0066543,                   0,             0.75661,             0.76439,             0.76862,             0.30992,            0.077599,           0.0067064,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.071651,           0.0066077,                   0,             0.75682,             0.76446,             0.76925,             0.31087,            0.077438,           0.0067086,                   0,            0.008911,            0.008911,            0.008911
